machine_id,assigned_ws_id,is_available_flag,last_maint_date
KJJ88173069,,Y,2025-03-22
ZME27717858,WS-154870,N,2024-05-21
LSC61802240,WS-151501,N,2024-09-21
LEE45696692,,Y,2024-09-07
PAQ76047596,WS-154491,N,2025-03-01
MJP19678556,,Y,2024-11-18
COA01883908,WS-154536,N,2024-05-25
SPO47031399,WS-150701,N,2024-06-05
VCC03115844,WS-150524,N,2024-11-14
BIQ96228836,,Y,2024-05-10
IVI99087714,,Y,2024-08-14
KCI06495310,,Y,2025-02-23
FXI26516880,,Y,2025-03-10
NJV78667943,WS-154657,N,2024-07-17
EAP94355821,WS-150306,N,2024-08-07
CVU08146569,WS-154606,N,2024-09-18
KDS51963082,WS-152866,N,2024-04-19
PEH78857719,,Y,2024-06-08
YSH92840589,WS-150647,N,2024-07-02
RVB19324112,,Y,2025-03-12
WYC12552904,,Y,2024-11-18
XEL85753479,,Y,2024-04-23
QLR12818151,WS-152856,N,2024-05-29
YHC10979731,WS-154367,N,2025-02-19
FNE53699333,,Y,2024-08-11
LQC58344240,WS-152637,N,2025-02-07
UUL30266052,WS-152862,N,2024-09-09
KFT68818996,,Y,2025-03-14
IVA04055689,,Y,2024-06-08
MNF32264355,WS-150198,N,2024-07-26
NFA88096921,WS-154740,N,2025-02-01
AMY13927436,WS-153727,N,2025-03-09
FDF94488155,,Y,2025-01-16
QCX74724278,,Y,2025-01-23
DTA70199446,,Y,2024-05-28
JNR49880649,,Y,2024-11-18
UIP86195982,WS-154849,N,2025-03-07
VTR90835199,,Y,2024-10-10
QQL85033450,,Y,2024-10-19
WQM03027090,WS-155692,N,2024-11-23
OPW63684014,WS-152941,N,2024-09-17
MSQ49349003,WS-154931,N,2024-12-15
JLE55893894,WS-151369,N,2024-10-11
KGX61837245,,Y,2024-10-05
IPQ75711758,,Y,2025-03-11
ESK73193572,WS-154653,N,2024-05-25
XIX60199285,WS-153806,N,2024-09-05
GVY29282939,,Y,2024-07-01
ESJ35279483,,Y,2025-01-06
TPS52341165,,Y,2024-12-25
VOV19106199,,Y,2024-09-02
QNR15363159,WS-154838,N,2025-02-02
VFV27699037,WS-150913,N,2024-06-28
OQV87060987,WS-155944,N,2025-01-25
IBA42038117,,Y,2024-11-13
QPM42593179,WS-152946,N,2024-04-09
NRE83188580,,Y,2024-10-20
ELU77958169,WS-152563,N,2024-07-18
ISV23261877,WS-150218,N,2024-07-26
VVG02034773,,Y,2025-02-14
TVJ01789079,,Y,2025-03-04
NIP95961620,,Y,2024-07-24
PZG23128008,WS-154992,N,2024-06-02
THG10104699,WS-154716,N,2025-03-20
MWS11032877,WS-153457,N,2024-10-16
MCG56905671,,Y,2024-06-19
OOV99254363,,Y,2025-02-24
TFA69527269,WS-154485,N,2025-02-03
EPI94704971,,Y,2024-07-27
HCG64750376,WS-154902,N,2024-05-16
MKR96268619,WS-151168,N,2024-05-07
ZIP84417869,,Y,2024-06-26
EEF85244875,WS-153334,N,2024-11-28
YTJ09193609,WS-155857,N,2025-01-02
OYN53127038,,Y,2024-08-12
DDD30937912,,Y,2025-02-14
RRC71708545,,Y,2024-09-22
JOJ54789830,,Y,2024-08-12
RAC11023417,WS-151022,N,2025-01-14
CVK31762539,,Y,2024-10-08
JLL36534188,,Y,2024-12-20
GOO91582295,WS-154512,N,2024-07-17
KFW86757638,,Y,2025-02-23
ASK44272262,,Y,2024-11-26
LHJ46587327,WS-152115,N,2025-02-08
YGG62966495,WS-154385,N,2024-08-18
SWR32079494,,Y,2024-04-16
MSI18163058,,Y,2024-09-03
PKT27179148,WS-151731,N,2024-07-24
ILJ16265119,,Y,2025-01-17
GWD42348547,,Y,2025-01-07
DZY51409073,WS-155205,N,2024-05-10
UWF28987650,,Y,2024-12-23
OCX86613886,WS-152875,N,2024-08-24
LSS22428123,,Y,2025-03-12
PFM99479871,,Y,2024-05-26
WKV67598270,,Y,2024-10-17
BTY26823450,,Y,2025-01-22
THY53014072,WS-152007,N,2024-06-29
XKQ51115988,,Y,2024-04-18
YCO70356574,,Y,2024-10-07
UMY68176489,WS-150790,N,2024-07-11
CLR08153466,WS-150336,N,2024-10-01
IVR55387613,WS-152694,N,2024-07-26
KEK95692690,WS-151042,N,2025-02-10
ZSA72160208,WS-154749,N,2024-06-09
BRW29972893,,Y,2024-08-15
BQM29704552,,Y,2024-07-12
JNL63283585,,Y,2024-10-24
PGU32577909,WS-154666,N,2025-03-07
SEF13074206,WS-154475,N,2024-06-19
GRB86181060,WS-152197,N,2024-10-09
XMS80807509,,Y,2024-12-12
EDM64006996,,Y,2024-07-13
NKB11873214,,Y,2024-10-23
OQB85706523,WS-155964,N,2025-02-26
GYZ87530749,WS-151892,N,2024-08-29
ZPB87652921,WS-152288,N,2024-10-09
KPV97438912,,Y,2024-12-26
MYX32370389,,Y,2025-02-27
UMY64267924,,Y,2024-10-25
SGE41708770,WS-151052,N,2024-09-19
VPC68942833,,Y,2024-11-15
OOA85046809,WS-153817,N,2025-01-10
YHA29682871,,Y,2024-11-08
VEE65806105,,Y,2024-11-11
UHD05406407,WS-151073,N,2024-05-26
TSP02722376,WS-150014,N,2024-08-31
YKE90740424,WS-151815,N,2024-12-29
DHS47824308,,Y,2024-09-08
YLB91738980,,Y,2024-05-23
IFE28542815,,Y,2024-12-01
KXS96756683,,Y,2024-10-03
ZEU67130401,,Y,2024-06-09
BWL86924945,WS-154077,N,2024-07-08
FHT67515327,,Y,2024-09-24
HMK03756524,,Y,2024-10-24
RJZ08605460,WS-154095,N,2024-08-17
WHY42375649,,Y,2024-05-24
UVK51518300,,Y,2024-05-30
BPQ60093970,WS-155323,N,2025-03-16
HSA84604412,,Y,2025-01-22
NUG49373876,WS-154573,N,2024-10-19
TKG21382692,WS-154587,N,2024-06-20
MIA56784044,WS-154517,N,2025-02-23
JCA06450144,WS-150711,N,2024-06-19
QXQ57481681,,Y,2024-09-08
VDY30215979,,Y,2024-09-21
STM32359405,WS-154608,N,2024-12-13
UVB94419601,,Y,2025-01-10
PGR08564999,,Y,2025-03-18
ZVT24429636,,Y,2024-11-24
LDP07385047,WS-153466,N,2025-01-13
VTZ71911523,WS-155258,N,2025-01-24
ACB51688864,,Y,2024-08-26
NPA07934708,WS-155055,N,2025-02-23
LVN84682407,WS-152509,N,2024-09-10
JLC86402479,WS-153478,N,2025-02-14
GBW02175046,,Y,2025-01-03
ASO25460818,WS-154996,N,2024-12-23
PDV09201913,WS-151026,N,2025-02-18
GTW81165308,,Y,2024-11-26
RGO51675962,,Y,2025-01-10
ISD59280100,,Y,2024-12-04
IZC14830195,,Y,2024-09-20
XGY10567592,WS-153882,N,2024-12-16
UKJ17326286,,Y,2025-02-06
QLO25811742,WS-153441,N,2024-08-23
BPM99667710,,Y,2024-09-15
JRF94236977,WS-155487,N,2025-02-13
VWP64566524,,Y,2024-09-25
QQI24642015,,Y,2024-12-30
JUZ30984256,WS-152271,N,2024-06-01
VOZ93835019,WS-154307,N,2024-08-06
LIJ19086615,WS-155469,N,2024-07-31
BIR29304098,WS-150276,N,2024-08-14
ADC02392377,,Y,2025-02-03
JDE06613748,WS-151497,N,2025-03-05
FOX44071442,,Y,2024-11-28
YGJ57863346,,Y,2024-08-28
NKT67514168,,Y,2024-09-23
KED61932347,WS-151263,N,2024-09-26
FOL00766122,,Y,2024-05-05
MCC75578012,WS-155420,N,2024-06-08
JUR95942791,,Y,2024-09-14
BHT67856472,WS-154256,N,2024-08-31
OOQ41777228,WS-152551,N,2024-09-08
MWY51877984,,Y,2025-03-03
RCR98171765,,Y,2024-11-30
PMS94524267,,Y,2024-05-07
LSK74117507,WS-151369,N,2024-12-14
OVT86679183,,Y,2024-08-15
TAP67368147,WS-153358,N,2024-06-20
OFF83702282,WS-155171,N,2024-08-18
KUT73591834,WS-155841,N,2025-03-10
ZOB65865398,,Y,2024-07-24
ZAZ93752060,,Y,2025-02-25
GVN82769072,WS-150545,N,2025-01-29
XOE92506749,WS-152459,N,2024-11-25
JWR89959025,WS-155350,N,2024-12-12
GDI37846896,,Y,2025-01-30
OSZ73991738,WS-151450,N,2025-03-11
VWN51463577,,Y,2024-06-26
FEY03028568,,Y,2024-08-07
JTQ50767744,WS-154866,N,2024-07-05
ZUP32451828,WS-152534,N,2024-05-05
QXQ79731558,WS-155903,N,2024-04-14
KDN64097606,WS-155567,N,2025-02-10
GCO93697334,WS-154061,N,2024-08-08
BVJ83823745,,Y,2025-03-18
ESD57029284,,Y,2024-08-17
JEP76315978,WS-154395,N,2024-08-19
LGY54803113,WS-155635,N,2025-01-02
FCK53882397,WS-152389,N,2024-08-29
DSD19599667,WS-155783,N,2025-01-30
WZG48194993,WS-154444,N,2024-05-21
WCQ10606338,WS-155917,N,2024-06-19
BUI51732261,WS-154763,N,2025-02-15
GZV80034554,WS-154319,N,2024-06-30
EYY65752257,WS-153694,N,2025-01-31
WOG19306678,WS-153227,N,2025-02-07
QLF94406565,WS-153674,N,2025-02-07
SSR50853654,,Y,2024-06-16
UZY63082264,,Y,2024-04-09
XQZ42438755,,Y,2024-10-22
CJV89176148,,Y,2024-08-12
QDL16035793,WS-154807,N,2024-05-08
OAC13465099,,Y,2025-02-14
EJQ48419841,,Y,2024-11-21
QAC21184174,,Y,2024-06-08
KJC14522993,,Y,2024-11-26
CZB81006835,,Y,2024-07-12
LWO39861517,WS-150425,N,2024-06-17
VPV79339572,,Y,2024-10-15
ARY14574745,WS-155610,N,2024-10-23
BSM06745742,WS-150529,N,2024-09-29
YWM08393730,,Y,2024-09-08
KVQ36419390,,Y,2024-08-12
LYM39128347,WS-150027,N,2024-07-06
EDJ23965538,,Y,2024-06-15
LZO30724520,,Y,2024-12-16
IRZ73720655,,Y,2024-12-01
HKI07630563,WS-152922,N,2024-04-08
JMT34009291,WS-153877,N,2024-07-01
ZYR60551761,WS-150878,N,2025-01-28
XEU77008908,WS-155044,N,2024-08-09
BTW44913494,WS-151066,N,2024-05-15
NCH33075164,WS-153479,N,2024-10-01
YBS30154060,,Y,2024-06-17
OIR61495313,,Y,2024-08-24
UVP84129720,,Y,2024-12-21
VXH01379767,,Y,2024-12-29
BOS00414074,WS-153510,N,2024-10-21
ZBI21130619,WS-152544,N,2024-09-14
KCR45815858,WS-151988,N,2025-02-27
VUU45399532,WS-150550,N,2024-08-09
JNM98135978,WS-153344,N,2024-07-24
PYN14332623,WS-155909,N,2025-02-02
EYW07398401,,Y,2024-06-06
AOY30946996,WS-155455,N,2024-09-10
EUT48480644,WS-155397,N,2025-03-17
SFW47502658,,Y,2025-03-17
TPD68236813,,Y,2024-07-27
CJR00657414,,Y,2025-02-28
WVR76476394,,Y,2024-08-19
SUX79586106,WS-151198,N,2024-05-18
QYO56621173,,Y,2024-06-21
HNT96710928,WS-154421,N,2024-10-18
OLY67856296,,Y,2024-09-26
YJJ60171834,WS-155411,N,2024-04-30
UCV73586104,,Y,2024-05-22
WIZ78314656,WS-151911,N,2024-10-10
TVJ74186764,,Y,2024-09-16
JKJ18940466,WS-155701,N,2024-10-20
FKK25757941,,Y,2024-06-03
BMM63261148,WS-155953,N,2024-12-24
CFQ40411713,WS-154405,N,2024-09-29
OIE07439717,,Y,2024-04-23
CDB19178016,,Y,2025-03-20
HME47191498,WS-155538,N,2024-11-16
DLK16532492,WS-154978,N,2024-09-16
VLS77738872,WS-152583,N,2024-07-06
IUB35137139,WS-153956,N,2024-07-28
CYO85527413,,Y,2024-07-15
UWI55192672,,Y,2025-01-05
HZK70767280,,Y,2024-08-29
QTF96907812,,Y,2024-05-18
CBJ30332803,,Y,2024-10-26
ZZU69048456,WS-151774,N,2024-10-15
SSO32951782,WS-154994,N,2024-05-28
SYR82746207,WS-153755,N,2024-06-16
ILV27380132,WS-154633,N,2024-12-24
UNS67377684,,Y,2024-07-29
GIW29122091,WS-155380,N,2024-12-10
JGI32255110,,Y,2024-10-13
KXH21333014,WS-151159,N,2024-05-23
SZM21484800,WS-153776,N,2025-01-30
MMW81691894,WS-154533,N,2024-04-07
DHS37813657,WS-155913,N,2024-09-20
MOT63692482,WS-150873,N,2024-10-23
MGD60095057,WS-152990,N,2024-05-28
SFC33132179,WS-154748,N,2024-12-16
RMP94159006,WS-152943,N,2025-02-08
KHS89228779,,Y,2024-06-24
HXM61114016,WS-155982,N,2025-01-29
KRD49583340,WS-153156,N,2024-05-04
VTR53188465,WS-153607,N,2024-12-05
LXX22332983,,Y,2024-12-04
AZF25383923,,Y,2024-11-03
QYA25702555,,Y,2024-07-20
ZDD27281920,WS-153471,N,2025-02-19
NGP15840083,WS-150316,N,2024-12-04
IGD60048251,WS-150480,N,2025-02-15
MDZ34227103,WS-155623,N,2024-12-24
LCW11844673,,Y,2024-10-15
CWT79024240,,Y,2024-07-07
XLQ61183734,WS-153866,N,2025-03-20
BYB67587206,WS-154428,N,2025-01-28
TMU05711417,WS-151840,N,2024-05-13
OVI84811892,WS-151466,N,2025-01-27
MXB06767385,WS-154948,N,2024-06-01
SGS67128067,,Y,2024-09-28
RSF84544541,WS-151092,N,2024-11-19
QZG43872482,WS-153405,N,2024-08-02
YQH36384909,,Y,2024-06-10
FUW68942720,WS-155528,N,2024-04-06
GBN56317196,,Y,2024-05-11
QIX09414741,,Y,2024-05-07
NZE73711966,WS-152463,N,2025-02-12
SSI96613353,,Y,2024-11-26
LWY93760743,WS-150618,N,2024-07-04
AUE43013027,WS-152822,N,2024-09-18
CQX69478644,,Y,2024-10-25
WEQ59795090,WS-154246,N,2024-11-06
TES67728759,WS-153960,N,2024-07-09
ILQ71307264,,Y,2025-03-05
UDR35548404,,Y,2024-05-04
PSW66656357,WS-154413,N,2025-03-14
ZPR50399012,,Y,2024-08-26
WMQ89405943,WS-151137,N,2024-08-23
CMQ52234286,WS-151909,N,2024-12-26
OJZ82295402,WS-154444,N,2025-02-27
QUI60112708,,Y,2025-02-16
IBO61804670,WS-153242,N,2025-03-18
IOT62231198,,Y,2024-05-21
TNI31142539,WS-155385,N,2025-02-04
KNZ34968767,WS-155389,N,2024-11-07
GNN41192387,,Y,2024-04-30
BQY32526873,WS-150282,N,2025-01-17
KEG96748238,WS-153316,N,2024-04-15
MKS90479367,,Y,2024-12-30
AKG88223025,WS-153900,N,2024-07-29
VEB49050968,WS-155935,N,2025-02-13
XCS14901710,WS-153638,N,2024-10-29
NIN13278915,WS-150802,N,2024-08-24
BAN11735494,WS-154258,N,2024-07-02
GGN62935410,,Y,2024-11-11
JUL90991672,,Y,2024-11-24
GVG10147561,WS-151429,N,2024-12-29
YWN47453857,WS-152873,N,2024-12-08
CUT72120600,WS-150053,N,2025-01-19
RQP81907515,,Y,2024-07-01
FJF14760047,WS-152503,N,2024-11-19
QEY62274523,,Y,2025-01-08
TAA81918787,WS-154717,N,2025-01-15
BYK37048107,,Y,2024-08-15
ITZ44830229,WS-150127,N,2024-12-09
HPL33734922,WS-151172,N,2024-09-21
EKY08307897,WS-153623,N,2025-02-17
CCW85497936,WS-154307,N,2024-04-22
SRP68648588,,Y,2024-11-25
TDK13176823,,Y,2024-12-19
OKI12078313,,Y,2024-08-20
QLP22736311,,Y,2024-04-21
AKR35078343,,Y,2024-07-02
YLW86009124,WS-155967,N,2024-12-29
IHB32938698,WS-150924,N,2024-10-13
JSH04975242,,Y,2024-05-23
XTB73515260,,Y,2024-09-27
WJC72858111,WS-155715,N,2024-08-06
OKY04365247,WS-153352,N,2024-05-10
YJJ02268475,WS-152690,N,2024-08-15
FCC25980576,WS-153114,N,2025-01-09
VGP70433687,,Y,2024-08-14
YRE38779653,,Y,2024-07-10
RAU06500640,WS-151353,N,2024-08-13
TQH86457731,,Y,2024-10-10
MXO91060030,WS-150312,N,2024-07-23
ETF66212357,WS-154443,N,2024-12-07
FBO31449900,WS-155648,N,2025-03-12
KNT43321079,WS-155352,N,2024-07-19
WCO05009675,,Y,2025-02-05
WQT21762658,,Y,2024-12-14
UYF02800986,,Y,2024-05-02
FFD66955569,,Y,2024-05-16
BBV46344433,,Y,2025-02-27
KOJ88325512,,Y,2025-03-16
MQK40104010,WS-151743,N,2024-10-08
RCK97787623,WS-153069,N,2024-11-11
BYP33676706,,Y,2024-07-01
RAZ67799972,WS-150207,N,2024-11-01
MGT65255552,,Y,2024-07-04
PYM68441574,WS-150303,N,2025-03-02
MJH29574809,WS-155090,N,2024-12-17
ZUB63054570,WS-152645,N,2024-09-14
HXW88710986,WS-153861,N,2024-04-27
TOE04085785,,Y,2025-03-19
VFR14711252,,Y,2025-01-27
KQZ57307401,,Y,2024-08-01
EVY78697593,WS-151591,N,2024-06-05
CKA79780388,,Y,2024-05-12
ULB35910719,WS-154291,N,2024-08-15
RVR96739156,WS-155783,N,2024-04-15
SRQ20747719,,Y,2024-09-07
VHZ69853852,WS-154954,N,2024-12-30
CMF87556299,,Y,2024-08-14
LYR64065615,,Y,2025-03-06
VQW67363061,,Y,2024-09-09
DFR05103623,WS-155244,N,2025-01-04
LMV37117697,,Y,2024-07-11
GGX83196553,,Y,2024-07-17
SHM54473705,,Y,2024-09-27
EXK56872305,WS-153702,N,2024-08-07
MRI98507628,WS-155040,N,2024-08-16
QDT86806732,WS-152085,N,2025-01-01
OIE60592738,WS-155214,N,2025-01-09
IRD06141410,WS-154723,N,2024-07-18
GQL79931360,,Y,2024-05-22
PUB34812510,WS-151947,N,2024-04-21
NIE81351644,WS-152292,N,2025-02-09
SQO68167039,WS-155782,N,2024-05-20
FHP72634070,,Y,2024-12-09
EIR39503214,,Y,2024-11-20
RZF96889043,WS-151352,N,2024-10-29
MJH40569846,,Y,2024-04-30
HJW17262831,,Y,2025-02-17
ORK78840037,WS-155005,N,2024-07-29
GIT95207168,,Y,2025-01-18
FHP15494710,,Y,2024-05-03
POW82355088,WS-154533,N,2024-12-29
UUQ60525154,,Y,2025-02-14
RYI21148858,,Y,2024-08-20
EVK50546581,,Y,2024-11-20
XYP56580125,WS-155223,N,2025-01-25
WCW56712466,WS-150349,N,2025-01-27
QIJ31347597,,Y,2024-11-29
FOK52231519,WS-150543,N,2024-04-11
GPK12563597,WS-155546,N,2024-08-24
PXK78739346,,Y,2024-12-13
RIC03751361,WS-151525,N,2025-03-16
JRD03633301,WS-151384,N,2024-04-27
MEA80454131,,Y,2025-03-07
IOO97463310,WS-150108,N,2025-01-21
GXP94401746,WS-155060,N,2025-02-17
TOJ61568975,WS-152453,N,2025-03-13
HGW84297445,,Y,2024-06-24
BXB95341435,WS-150921,N,2024-12-07
TYO85102504,WS-154571,N,2024-08-01
XJB45259173,,Y,2024-06-25
GFP05488068,WS-151388,N,2025-02-21
LMS01208069,,Y,2024-06-29
XZK30113060,WS-155263,N,2024-08-25
UDY42002862,,Y,2024-11-21
VQA13398842,,Y,2024-09-26
