ws_id,ws_name,next_ws_id,is_available_flag,ws_bay_id
WS-151255,Hennessy Capital Acquisition Corp. IV,WS-151256,Y,B260
WS-152658,CSP Inc.,WS-152667,Y,D359
WS-150254,Grupo Financiero Galicia S.A.,WS-150258,Y,D19
WS-153944,OpGen,WS-153951,N,B416
WS-154636,Red River Bancshares,WS-154640,Y,D208
WS-151675,Blackstone / GSO Strategic Credit Fund,WS-151685,N,B424
WS-152428,Clough Global Opportunities Fund,WS-152431,N,B78
WS-155291,Aberdeen Total Dynamic Dividend Fund,WS-155297,N,D72
WS-153995,Evelo Biosciences,WS-154001,N,B104
WS-151553,Mid-America Apartment Communities,WS-151562,Y,B77
WS-150643,Blackrock Capital and Income Strategies Fund Inc,WS-150652,Y,D316
WS-151422,Sensient Technologies Corporation,WS-151430,N,D268
WS-152458,Nuveen Tax-Advantaged Dividend Growth Fund,WS-152467,N,D190
WS-153670,Nuveen Energy MLP Total Return Fund,WS-153678,N,B190
WS-153718,China Internet Nationwide Financial Services Inc.,WS-153728,N,D125
WS-151037,iRhythm Technologies,WS-151044,Y,B393
WS-151397,AK Steel Holding Corporation,WS-151399,Y,D227
WS-154709,Westlake Chemical Corporation,WS-154715,Y,D256
WS-155039,First Financial Northwest,WS-155041,Y,D392
WS-153722,Deckers Outdoor Corporation,WS-153724,Y,D273
WS-155653,Beacon Roofing Supply,WS-155662,N,D370
WS-155288,CNH Industrial N.V.,WS-155292,Y,D369
WS-155494,Simmons First National Corporation,WS-155496,N,D416
WS-152856,Streamline Health Solutions,WS-152863,N,B224
WS-155725,Turning Point Therapeutics,WS-155727,N,B440
WS-153658,Equinor ASA,WS-153664,Y,B120
WS-152190,Brainstorm Cell Therapeutics Inc.,WS-152196,N,B311
WS-154364,Safety Insurance Group,WS-154374,N,D293
WS-150535,AMREP Corporation,WS-150542,N,B173
WS-150931,VictoryShares US Multi-Factor Minimum Volatility ETF,WS-150934,Y,B110
WS-154142,ACM Research,WS-154151,Y,B111
WS-154389,Acacia Communications,WS-154393,Y,B9
WS-154992,Noble Corporation,WS-154997,Y,B352
WS-151873,Covanta Holding Corporation,WS-151880,Y,B371
WS-152978,Virtus LifeSci Biotech Clinical Trials ETF,WS-152984,N,B426
WS-155375,Sensata Technologies Holding plc,WS-155376,N,B250
WS-154561,Evofem Biosciences,WS-154563,Y,D277
WS-153563,Nuveen Quality Municipal Income Fund,WS-153573,N,B247
WS-153603,Nomura Holdings Inc ADR,WS-153613,Y,D58
WS-150038,Accelerated Pharma,WS-150048,Y,D432
WS-155920,Atreca,WS-155925,N,B12
WS-152371,BridgeBio Pharma,WS-152376,N,B490
WS-151514,Ideanomics,WS-151518,N,B320
WS-151658,Banner Corporation,WS-151664,Y,D492
WS-152957,Tennessee Valley Authority,WS-152963,Y,B434
WS-151896,Sunrun Inc.,WS-151900,N,D88
WS-151427,Qualys,WS-151435,Y,D98
WS-151394,Euro Tech Holdings Company Limited,WS-151404,N,D190
WS-153648,Steel Connect,WS-153654,N,B322
WS-153477,Kaman Corporation,WS-153480,N,B30
WS-152378,NetApp,WS-152381,Y,D350
WS-151969,Surgery Partners,WS-151971,Y,B92
WS-150446,Red Robin Gourmet Burgers,WS-150454,Y,B25
WS-151814,Pluristem Therapeutics,WS-151819,N,D56
WS-152834,OFG Bancorp,WS-152843,Y,D8
WS-152800,Domino&#39;s Pizza Inc,WS-152802,N,B223
WS-151650,Eyenovia,WS-151655,Y,D232
WS-150936,Axsome Therapeutics,WS-150940,N,B47
WS-151880,Phillips 66,WS-151883,Y,B446
WS-152077,Northeast Bank,WS-152083,Y,B113
WS-151100,Union Bankshares,WS-151108,Y,B472
WS-152555,West Pharmaceutical Services,WS-152562,N,B74
WS-151447,Nicholas Financial,WS-151450,Y,D397
WS-154401,Royce Value Trust,WS-154403,N,B227
WS-151722,Anixter International Inc.,WS-151725,Y,D101
WS-153072,MMA Capital Holdings,WS-153080,N,B73
WS-152998,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,WS-153004,Y,D247
WS-153997,Triumph Bancorp,WS-154002,N,D310
WS-150036,Positive Physicians Holdings,WS-150046,N,D441
WS-153954,United States Cellular Corporation,WS-153955,Y,B78
WS-154041,AAON,WS-154048,Y,B389
WS-152216,Cadiz,WS-152218,N,B324
WS-154339,Semgroup Corporation,WS-154348,Y,D36
WS-152983,Invesco RAFI Strategic Developed ex-US ETF,WS-152990,Y,B409
WS-151505,Silicon Laboratories,WS-151509,N,D160
WS-154102,Twelve Seas Investment Company,WS-154108,N,B308
WS-151691,California Water  Service Group Holding,WS-151699,Y,B30
WS-150933,FSB Bancorp,WS-150940,N,B161
WS-153124,Shutterfly,WS-153125,Y,B368
WS-155224,BlackRock Income Investment Quality Trust,WS-155226,Y,B80
WS-150651,Ally Financial Inc.,WS-150656,N,B174
WS-153435,Lattice Semiconductor Corporation,WS-153440,Y,D303
WS-155007,Eaton Vance Floating-Rate 2022 Target Term Trust,WS-155011,Y,B469
WS-152055,Community Trust Bancorp,WS-152057,N,B61
WS-150700,BiondVax Pharmaceuticals Ltd.,WS-150702,N,D217
WS-152525,Itamar Medical Ltd.,WS-152535,N,D109
WS-154481,Gabelli Utility Trust (The),WS-154484,Y,B12
WS-150546,Denbury Resources Inc.,WS-150555,N,D433
WS-155158,INmune Bio Inc.,WS-155162,Y,B260
WS-150942,Genworth Financial Inc,WS-150943,Y,B426
WS-155390,Bank of Commerce Holdings (CA),WS-155395,Y,D230
WS-150139,Mastech Digital,WS-150147,Y,B197
WS-152029,AllianzGI NFJ Dividend,WS-152030,Y,B136
WS-151269,Vanguard Short-Term Inflation-Protected Securities Index Fund,WS-151277,N,D105
WS-152583,Sterling Bancorp,WS-152584,Y,B180
WS-150075,Global X MSCI SuperDividend EAFE ETF,WS-150084,Y,D340
WS-154639,Nuveen Virginia Quality Municipal Income Fund,WS-154646,N,B256
WS-151235,Silk Road Medical,WS-151243,N,D25
WS-152013,Nucor Corporation,WS-152023,Y,D9
WS-153062,Tiziana Life Sciences plc,WS-153064,Y,D131
WS-152191,Future FinTech Group Inc.,WS-152193,N,D479
WS-155846,8i Enterprises Acquisition Corp,WS-155856,Y,D495
WS-150112,Cirrus Logic,WS-150119,N,D469
WS-152170,Basic Energy Services,WS-152173,Y,D65
WS-155011,Abeona Therapeutics Inc.,WS-155019,Y,B122
WS-153950,WhiteHorse Finance,WS-153956,N,D488
WS-154102,Vanguard International Dividend Appreciation ETF,WS-154107,Y,D368
WS-153505,ServiceSource International,WS-153513,N,B421
WS-151386,Getty Realty Corporation,WS-151393,N,B318
WS-154444,Agree Realty Corporation,WS-154452,N,B66
WS-154386,Powell Industries,WS-154393,Y,D58
WS-154473,The Cheesecake Factory Incorporated,WS-154474,Y,D329
WS-154566,Vermillion,WS-154569,Y,D30
WS-154067,Nomad Foods Limited,WS-154077,N,B319
WS-155889,PQ Group Holdings Inc.,WS-155890,N,D417
WS-150523,Waddell & Reed Financial,WS-150527,N,B272
WS-150254,Qorvo,WS-150258,Y,B47
WS-151166,Ionis Pharmaceuticals,WS-151169,Y,D237
WS-154826,Atlantic Union Bankshares Corporation,WS-154828,N,B462
WS-154844,NCR Corporation,WS-154849,N,B38
WS-153228,Cyclerion Therapeutics,WS-153238,Y,B289
WS-152560,Community West Bancshares,WS-152564,Y,B28
WS-154053,Unum Group,WS-154055,N,B172
WS-151182,Trinity Industries,WS-151191,Y,B137
WS-155423,CoreSite Realty Corporation,WS-155432,N,D392
WS-151675,Janus Henderson Small/Mid Cap Growth Alpha ETF,WS-151682,N,D253
WS-151107,Kingsway Financial Services,WS-151114,N,D153
WS-155926,ENGlobal Corporation,WS-155935,N,B159
WS-151815,ATIF Holdings Limited,WS-151822,Y,D419
WS-155126,Bio-Rad Laboratories,WS-155136,Y,B446
WS-153405,Teva Pharmaceutical Industries Limited,WS-153409,Y,B98
WS-154405,Macro Bank Inc.,WS-154415,N,D371
WS-154650,ClearSign Combustion Corporation,WS-154658,Y,D295
WS-152581,Principal Price Setters Index ETF,WS-152590,Y,D285
WS-150336,Zoetis Inc.,WS-150346,N,D193
WS-155654,Switchback Energy Acquisition Corporation,WS-155659,Y,D424
WS-153110,SmileDirectClub,WS-153116,N,D64
WS-150234,CorePoint Lodging Inc.,WS-150235,N,B113
WS-154135,Navios Maritime Holdings Inc.,WS-154138,Y,B361
WS-150205,Blackrock Corporate High Yield Fund,WS-150215,Y,D445
WS-150272,Ryder System,WS-150274,N,B367
WS-150679,First Trust Nasdaq Semiconductor ETF,WS-150683,Y,B365
WS-155516,Just Energy Group,WS-155522,Y,B293
WS-155572,TrueCar,WS-155582,Y,B66
WS-154695,Consolidated Edison Inc,WS-154698,N,D354
WS-154015,AutoNation,WS-154018,N,B157
WS-154033,Phunware,WS-154035,N,B193
WS-150013,GNC Holdings,WS-150016,N,B293
WS-151722,Vera Bradley,WS-151724,Y,B480
WS-153869,Veritiv Corporation,WS-153870,N,D149
WS-150729,iShares 20+ Year Treasury Bond ETF,WS-150736,Y,D397
WS-151013,Las Vegas Sands Corp.,WS-151020,Y,B180
WS-152621,Voya International High Dividend Equity Income Fund,WS-152626,N,D287
WS-151497,1-800 FLOWERS.COM,WS-151499,Y,D130
WS-152600,10x Genomics,WS-152603,Y,D413
WS-154066,EdtechX Holdings Acquisition Corp.,WS-154069,Y,D96
WS-151675,Bank Of Montreal,WS-151680,Y,B200
WS-155137,Aphria Inc.,WS-155144,Y,B83
WS-154638,Switchback Energy Acquisition Corporation,WS-154646,N,B195
WS-154390,First Trust Latin America AlphaDEX Fund,WS-154395,N,B210
WS-154037,Alteryx,WS-154038,N,B147
WS-153380,Nuveen Minnesota Quality Municipal Income Fund,WS-153384,N,B287
WS-151480,Celsius Holdings,WS-151484,N,B460
WS-151968,Silver Spike Acquisition Corp.,WS-151974,N,D227
WS-150552,NorthWestern Corporation,WS-150560,N,B90
WS-155872,Akari Therapeutics Plc,WS-155878,N,B10
WS-154923,Banco Bradesco Sa,WS-154926,Y,B1
WS-152952,DRDGOLD Limited,WS-152957,Y,B26
WS-154285,First Trust South Korea AlphaDEX Fund,WS-154295,N,B257
WS-150964,North American Construction Group Ltd.,WS-150969,N,D176
WS-150827,Dynagas LNG Partners LP,WS-150834,Y,D222
WS-151429,MFS Special Value Trust,WS-151433,N,D305
WS-153250,Entree Resources Ltd.,WS-153255,Y,B496
WS-152676,Eagle Pharmaceuticals,WS-152682,Y,B24
WS-150824,Vertical Capital Income Fund,WS-150831,Y,B425
WS-152758,Allena Pharmaceuticals,WS-152759,N,B405
WS-155352,Telefonica Brasil S.A.,WS-155358,Y,D414
WS-150118,Children&#39;s Place,WS-150121,N,B261
WS-154886,Oi S.A.,WS-154893,Y,D151
WS-154636,Invesco Russell 1000 Low Beta Equal Weight ETF,WS-154641,Y,D67
WS-154123,Emerson Electric Company,WS-154124,Y,B93
WS-152016,Axcella Health Inc.,WS-152019,N,D56
WS-152964,Taubman Centers,WS-152968,N,B185
WS-154461,Palomar Holdings,WS-154464,N,B166
WS-150961,Lehman ABS Corporation,WS-150962,N,B404
WS-153613,Perspecta Inc.,WS-153620,N,B402
WS-152310,Consolidated Edison Inc,WS-152313,N,B25
WS-155908,BridgeBio Pharma,WS-155916,N,B10
WS-151339,Invesco DWA Healthcare Momentum ETF,WS-151348,Y,D480
WS-151922,Beacon Roofing Supply,WS-151929,N,D64
WS-152272,Morgan Stanley China A Share Fund Inc.,WS-152280,N,D102
WS-151434,Stifel Financial Corporation,WS-151440,N,D298
WS-150026,Cue Biopharma,WS-150028,Y,B222
WS-154820,Home Depot,WS-154825,Y,D101
WS-152675,Foot Locker,WS-152685,N,B99
WS-151753,Gores Metropoulos,WS-151755,N,D35
WS-154748,VictoryShares US Small Cap High Div Volatility Wtd ETF,WS-154749,Y,D352
WS-151308,Juniper Networks,WS-151318,Y,D189
WS-150074,Axsome Therapeutics,WS-150081,N,D309
WS-152023,Automatic Data Processing,WS-152030,N,B267
WS-152879,Unilever NV,WS-152883,Y,D468
WS-150904,Reliant Bancorp,WS-150909,Y,D433
WS-154423,Permian Basin Royalty Trust,WS-154432,Y,D95
WS-151127,VictoryShares US Small Cap Volatility Wtd ETF,WS-151133,Y,B329
WS-154327,EuroDry Ltd.,WS-154336,N,B122
WS-154071,Genesis Energy,WS-154079,N,B52
WS-150252,Corporacion America Airports SA,WS-150256,N,D440
WS-151991,MediWound Ltd.,WS-151998,N,D349
WS-154741,NB Capital Acquisition Corp.,WS-154742,N,D376
WS-154099,LTC Properties,WS-154102,Y,B303
WS-150542,Retrophin,WS-150552,N,D442
WS-150223,Baytex Energy Corp,WS-150228,N,B279
WS-153642,Future FinTech Group Inc.,WS-153644,N,B487
WS-153383,Bank of America Corporation,WS-153385,Y,D31
WS-154031,Middlefield Banc Corp.,WS-154039,N,B139
WS-152407,K12 Inc,WS-152409,Y,D423
WS-153329,Green Plains Partners LP,WS-153337,N,B305
WS-152890,AirNet Technology Inc.,WS-152894,N,B365
WS-150466,Spirit MTA REIT,WS-150476,Y,B318
WS-154086,SIFCO Industries,WS-154087,Y,D364
WS-153264,Viamet Pharmaceuticals Corp.,WS-153274,Y,D115
WS-154610,BB&T Corporation,WS-154617,N,D302
WS-151518,Genpact Limited,WS-151526,Y,D28
WS-153021,Psychemedics Corporation,WS-153025,Y,B165
WS-151576,Anchiano Therapeutics Ltd.,WS-151584,N,B415
WS-153479,Empire State Realty Trust,WS-153486,Y,B81
WS-151735,First Foundation Inc.,WS-151737,N,D192
WS-155425,MDC Partners Inc.,WS-155431,N,D149
WS-152057,Acer Therapeutics Inc.,WS-152064,N,B205
WS-153823,Limestone Bancorp,WS-153830,N,B246
WS-153339,Hexindai Inc.,WS-153346,Y,B334
WS-153121,Vonage Holdings Corp.,WS-153126,N,B37
WS-153931,Alimera Sciences,WS-153941,N,B154
WS-154129,Clear Channel Outdoor Holdings,WS-154134,N,D329
WS-152328,Avid Bioservices,WS-152331,N,D272
WS-155334,TriNet Group,WS-155341,Y,D159
WS-151622,A10 Networks,WS-151632,Y,B168
WS-150219,New England Realty Associates Limited Partnership,WS-150225,Y,D408
WS-153385,Edison Nation,WS-153390,Y,D124
WS-151784,CubeSmart,WS-151785,N,B354
WS-150561,Gildan Activewear,WS-150568,N,D402
WS-151963,AllianzGI Equity & Convertible Income Fund,WS-151964,N,D374
WS-150020,SilverBow Resorces,WS-150028,N,B235
WS-155319,Schweitzer-Mauduit International,WS-155328,Y,B158
WS-154464,NI Holdings,WS-154471,N,D489
WS-152063,Genomic Health,WS-152065,Y,B192
WS-153296,Emclaire Financial Corp,WS-153301,Y,B423
WS-150239,Marriott International,WS-150240,N,D245
WS-155805,Nine Energy Service,WS-155815,N,D15
WS-152985,Lantronix,WS-152992,Y,D441
WS-151537,Air Industries Group,WS-151545,N,B71
WS-151889,Nu Skin Enterprises,WS-151893,Y,D248
WS-153534,Performance Food Group Company,WS-153535,Y,B198
WS-152987,Blackrock Muni Intermediate Duration Fund Inc,WS-152992,N,B368
WS-150590,AGBA Acquisition Limited,WS-150592,N,B243
WS-150963,Ideanomics,WS-150967,N,B161
WS-150431,Qualys,WS-150440,N,B140
WS-151067,Aurora Mobile Limited,WS-151073,Y,B160
WS-152332,AMCON Distributing Company,WS-152338,Y,D447
WS-152138,Construction Partners,WS-152148,Y,D262
WS-155394,Andina Acquisition Corp. III,WS-155398,Y,D308
WS-153143,Fate Therapeutics,WS-153151,Y,B399
WS-153997,VictoryShares US Discovery Enhanced Volatility Wtd ETF,WS-154002,Y,D330
WS-150991,NRG Energy,WS-150999,Y,B487
WS-155755,AutoWeb,WS-155758,Y,B76
WS-152520,Taseko Mines Limited,WS-152527,Y,D77
WS-153901,Invesco KBW Regional Banking ETF,WS-153911,N,D264
WS-150511,MFS Special Value Trust,WS-150521,N,D14
WS-154495,Front Yard Residential Corporation,WS-154497,Y,B418
WS-151236,Activision Blizzard,WS-151241,N,B23
WS-152194,National Health Investors,WS-152196,Y,D50
WS-150243,Arvinas,WS-150245,N,D213
WS-152031,Dell Technologies Inc.,WS-152036,N,B435
WS-153504,Investors Title Company,WS-153507,N,B57
WS-153803,Jumia Technologies AG,WS-153808,Y,B62
WS-153060,Pedevco Corp.,WS-153069,Y,B122
WS-154379,Kandi Technologies Group,WS-154382,Y,D283
WS-153553,Silvercrest Asset Management Group Inc.,WS-153559,Y,B10
WS-155575,Griffin Industrial Realty,WS-155580,Y,D150
WS-155620,ServiceSource International,WS-155630,Y,B375
WS-152370,Strattec Security Corporation,WS-152380,N,D420
WS-154025,Virtus Global Dividend & Income Fund Inc.,WS-154033,Y,D94
WS-150687,Cohen & Steers Global Income Builder,WS-150693,Y,D368
WS-154209,First Trust Emerging Markets AlphaDEX Fund,WS-154218,Y,D256
WS-150601,Clough Global Equity Fund,WS-150606,Y,B195
WS-151737,Pitney Bowes Inc.,WS-151746,N,D172
WS-150137,BlackRock 2022 Global Income Opportunity Trust,WS-150144,N,D192
WS-154935,FedNat Holding Company,WS-154945,Y,B40
WS-151211,Neos Therapeutics,WS-151220,N,B243
WS-154920,Catabasis Pharmaceuticals,WS-154928,N,D164
WS-151368,Corcept Therapeutics Incorporated,WS-151371,Y,D302
WS-154634,County Bancorp,WS-154644,N,D242
WS-152234,Resources Connection,WS-152237,N,B200
WS-150741,Hill-Rom Holdings Inc,WS-150745,Y,B451
WS-150439,Wright Medical Group N.V.,WS-150444,N,B424
WS-153167,Markel Corporation,WS-153174,N,D236
WS-150603,Eros International PLC,WS-150605,Y,B257
WS-153481,Moleculin Biotech,WS-153482,N,D241
WS-151936,Republic Services,WS-151945,N,B342
WS-153689,Apollo Senior Floating Rate Fund Inc.,WS-153691,N,D350
WS-154528,Antero Midstream Corporation,WS-154531,Y,B123
WS-152665,TripAdvisor,WS-152672,Y,B78
WS-150302,Colgate-Palmolive Company,WS-150308,N,B375
WS-155786,PLx Pharma Inc.,WS-155795,N,D34
WS-152454,PDL BioPharma,WS-152458,N,B464
WS-155062,SINOPEC Shangai Petrochemical Company,WS-155067,N,B430
WS-151331,Enlivex Therapeutics Ltd.,WS-151341,Y,D39
WS-154570,Endologix,WS-154579,Y,D101
WS-155139,Adams Natural Resources Fund,WS-155144,N,D119
WS-151651,Western Asset Global Corporate Defined Opportunity Fund Inc.,WS-151656,Y,B372
WS-153882,Arcadia Biosciences,WS-153887,N,D366
WS-150113,ICF International,WS-150123,Y,B323
WS-153050,Oxford Immunotec Global PLC,WS-153057,N,D301
WS-150908,Vapotherm,WS-150911,Y,B390
WS-151520,Orisun Acquisition Corp.,WS-151530,N,B494
WS-151244,Koppers Holdings Inc.,WS-151248,Y,D210
WS-153546,BNY Mellon High Yield Strategies Fund,WS-153552,N,D9
WS-154042,ATIF Holdings Limited,WS-154047,N,B197
WS-152422,Casella Waste Systems,WS-152423,Y,B221
WS-152390,OUTFRONT Media Inc.,WS-152397,Y,D450
WS-153890,OpGen,WS-153897,Y,D426
WS-150882,Hartford Financial Services Group,WS-150888,Y,D326
WS-155495,AutoWeb,WS-155502,Y,B335
WS-151812,Euronav NV,WS-151817,N,B193
WS-150974,Coeur Mining,WS-150977,N,B249
WS-153214,CSI Compressco LP,WS-153220,N,D341
WS-153555,Capricor Therapeutics,WS-153562,Y,D481
WS-155738,Milestone Scientific,WS-155747,Y,B329
WS-155114,Care.com,WS-155120,N,D279
WS-152884,TiVo Corporation,WS-152891,N,B140
WS-154965,Eyegate Pharmaceuticals,WS-154971,Y,B306
WS-150928,Meridian Bancorp,WS-150933,N,B5
WS-152182,CEVA,WS-152190,N,D246
WS-150240,Hill International,WS-150248,N,B365
WS-154595,500.com Limited,WS-154601,Y,B142
WS-152551,Invesco Variable Rate Investment Grade ETF,WS-152555,N,D287
WS-155172,Nuveen Municipal 2021 Target Term Fund,WS-155176,Y,B295
WS-151126,DD3 Acquisition Corp.,WS-151129,N,B100
WS-150078,HTG Molecular Diagnostics,WS-150087,N,D403
WS-151719,BHP Group Limited,WS-151725,N,D492
WS-154384,Salarius Pharmaceuticals,WS-154390,N,D332
WS-153653,MGP Ingredients,WS-153654,N,B257
WS-151694,Apollo Endosurgery,WS-151698,Y,D496
WS-150268,CONMED Corporation,WS-150273,Y,B311
WS-152572,American Financial Group,WS-152577,Y,B9
WS-152095,Tortoise Midstream Energy Fund,WS-152097,Y,D355
WS-153374,Fastenal Company,WS-153384,N,B484
WS-154919,Hudbay Minerals Inc.,WS-154922,Y,B412
WS-152516,Element Solutions Inc.,WS-152521,Y,B452
WS-155076,ICU Medical,WS-155077,N,D470
WS-150674,Oasis Midstream Partners LP,WS-150677,Y,B134
WS-155615,SPS Commerce,WS-155620,N,D232
WS-152493,Advanced Drainage Systems,WS-152495,Y,B450
WS-150403,Aqua Metals,WS-150406,N,B260
WS-151021,Evolution Petroleum Corporation,WS-151025,Y,D269
WS-150438,AzurRx BioPharma,WS-150439,N,B75
WS-152467,Coffee Holding Co.,WS-152469,N,D459
WS-151159,CPB Inc.,WS-151168,N,B250
WS-151103,Comfort Systems USA,WS-151110,Y,D26
WS-150202,Shell Midstream Partners,WS-150211,N,B113
WS-150773,Kura Oncology,WS-150781,Y,D10
WS-151191,PJT Partners Inc.,WS-151201,Y,D130
WS-155569,TechTarget,WS-155576,N,B326
WS-155789,DCP Midstream LP,WS-155795,Y,D473
WS-150199,Eagle Materials Inc,WS-150204,Y,D15
WS-151125,F5 Networks,WS-151128,Y,B414
WS-150903,NXP Semiconductors N.V.,WS-150913,N,D37
WS-154653,Avis Budget Group,WS-154661,Y,D66
WS-155968,nVent Electric plc,WS-155971,N,B50
WS-154668,Hill International,WS-154672,N,B241
WS-155793,BrandywineGLOBAL Global Income Opportunities Fund ,WS-155799,N,D17
WS-155961,BNY Mellon Strategic Municipal Bond Fund,WS-155963,Y,B396
WS-155211,RBC Bearings Incorporated,WS-155216,Y,B101
WS-150849,Seritage Growth Properties,WS-150852,N,D304
WS-155615,Regional Health Properties,WS-155621,N,B376
WS-150402,Helmerich & Payne,WS-150403,N,D407
WS-155229,Fellazo Inc.,WS-155231,N,B351
WS-154085,O2Micro International Limited,WS-154094,N,D211
WS-155123,RBC Bearings Incorporated,WS-155128,N,D60
WS-153510,National Bank Holdings Corporation,WS-153518,N,D458
WS-151187,Agilent Technologies,WS-151194,Y,D459
WS-153567,Lam Research Corporation,WS-153575,Y,B343
WS-154640,CoStar Group,WS-154646,N,B338
WS-153160,Fortune Brands Home & Security,WS-153163,Y,D334
WS-153010,Agilysys,WS-153013,Y,B118
WS-152773,AllianzGI NFJ Dividend,WS-152777,Y,D198
WS-150662,Open Text Corporation,WS-150671,Y,B403
WS-155486,Malvern Bancorp,WS-155495,N,B161
WS-153417,Energous Corporation,WS-153425,Y,B444
WS-150620,Pimco Global Stocksplus & Income Fund,WS-150625,Y,D118
WS-154227,Compugen Ltd.,WS-154235,Y,D244
WS-151230,iShares Core Total USD Bond Market ETF,WS-151231,N,D110
WS-153467,Affimed N.V.,WS-153477,N,D191
WS-155380,Hermitage Offshore Services Ltd.,WS-155382,N,B261
